SybilFraction,Base,No smoothing,Aggressive weighting,Dense Sybils,Random
0.0,0.0,0.0,0.0,0.0,0.0
10.0,0.9480893918114178,1.022361656132099,0.18228359153920182,4.070997812312486,0.6602639855851097
20.0,3.4358283579448363,3.3612655388862955,0.09063653391913716,7.878438221394109,2.587300159946745
30.000000000000004,6.398636167383686,5.66298964019596,0.3452670421110691,15.67900290995324,4.004066703923232
40.0,12.695759151120736,9.53466563087136,1.046361204432701,21.771871618439526,7.3529595334452305
50.0,15.075667638183672,14.61117835992078,1.4743555695982449,30.136827334551807,11.288325203228446
60.00000000000001,20.8064880713074,21.724592640869613,1.3308711191759817,38.20939149768224,15.726598585855026
70.0,29.926742578909977,26.165501945554904,3.4469295336779444,49.238511178036774,21.96994183324155
80.0,39.905267898984405,39.56002412130694,5.022765449351856,58.23535243746369,33.211980913131235
90.0,63.020713113132956,62.30862208947197,14.148044505211626,80.87166532218015,54.84491286639921
100.0,99.99999999999999,100.0,100.00000000000001,99.99999999999997,99.99999999999999
